trip,stopId,stopName,timestamp,delay,variant,status
3271012,2043,Obrońców Westerplatte,2022-04-23 07:11:09,69,T201R12,REALTIME
3272128,2005,Brama Oliwska,2022-04-23 07:12:08,8,T201R12,REALTIME
3271012,202,Oliwa,2022-04-23 07:20:00,480,T201R12,REALTIME
3259734,14540,Warneńska,2022-04-23 07:12:00,None,T201R12,SCHEDULED
3259734,14538,Belgradzka,2022-04-23 07:13:00,None,T201R12,SCHEDULED
3272128,2007,Chodowieckiego,2022-04-23 07:13:00,0,T201R12,REALTIME
3272128,2009,Uniwersytet Medyczny,2022-04-23 07:14:41,41,T201R12,REALTIME
3259734,14536,Piekarnicza,2022-04-23 07:15:00,None,T201R12,SCHEDULED
3272128,2011,Traugutta,2022-04-23 07:16:00,None,T201R12,SCHEDULED
3259734,2150,Siedlce,2022-04-23 07:18:00,None,T201R12,SCHEDULED
3272128,2015,Opera Bałtycka,2022-04-23 07:18:48,48,T201R12,REALTIME
3272128,2017,Politechnika,2022-04-23 07:18:34,-25,T201R12,REALTIME
3259734,2148,Skrajna,2022-04-23 07:19:00,None,T201R12,SCHEDULED
3269202,14825,Lawendowe Wzgórze,2022-04-23 07:19:24,24,T201R12,REALTIME
3259734,2146,Zakopiańska,2022-04-23 07:20:00,None,T201R12,SCHEDULED
3259734,2144,Ciasna,2022-04-23 07:21:00,None,T201R12,SCHEDULED
3272128,2019,Miszewskiego,2022-04-23 07:21:35,35,T201R12,REALTIME
3259734,2142,Paska,2022-04-23 07:22:00,None,T201R12,SCHEDULED
3272128,2021,Jaśkowa Dolina,2022-04-23 07:23:00,None,T201R12,SCHEDULED
3272128,2023,Klonowa,2022-04-23 07:23:55,-4,T201R12,REALTIME
3269202,14827,Ujeścisko,2022-04-23 07:23:31,91,T201R12,REALTIME
3259734,2140,Powstańców Warszawskich,2022-04-23 07:24:00,None,T201R12,SCHEDULED
3272128,2025,Galeria Bałtycka,2022-04-23 07:26:35,35,T201R12,REALTIME
3269202,14821,Zabornia,2022-04-23 07:26:30,150,T201R12,REALTIME
3269202,14819,Stolema,2022-04-23 07:26:48,108,T201R12,REALTIME
3259734,2138,Hucisko,2022-04-23 07:27:00,None,T201R12,SCHEDULED
3272128,2027,Wojska Polskiego,2022-04-23 07:28:00,None,T201R12,SCHEDULED
3269202,14818,Łabędzia,2022-04-23 07:27:51,111,T201R12,REALTIME
3259734,2001,Dworzec Główny,2022-04-23 07:29:00,None,T201R12,SCHEDULED
3272128,2029,Zamenhofa,2022-04-23 07:28:39,-20,T201R12,REALTIME
3269202,14815,Królewskie Wzgórze,2022-04-23 07:29:14,134,T201R12,REALTIME
3269202,14547,Migowo,2022-04-23 07:29:59,119,T201R12,REALTIME
3272128,2031,Zajezdnia,2022-04-23 07:30:28,28,T201R12,REALTIME
3269202,14546,Budapesztańska,2022-04-23 07:31:31,91,T201R12,REALTIME
3272128,2033,Strzyża PKM,2022-04-23 07:31:21,21,T201R12,REALTIME
3259734,2005,Brama Oliwska,2022-04-23 07:32:00,None,T201R12,SCHEDULED
3269202,14540,Warneńska,2022-04-23 07:33:23,83,T201R12,REALTIME
3259734,2007,Chodowieckiego,2022-04-23 07:33:00,None,T201R12,SCHEDULED
3272128,2035,Uniwersytet Gdański,2022-04-23 07:32:47,-12,T201R12,REALTIME
3259734,2009,Uniwersytet Medyczny,2022-04-23 07:34:00,None,T201R12,SCHEDULED
3269202,14538,Belgradzka,2022-04-23 07:33:46,46,T201R12,REALTIME
3272128,2037,Bażyńskiego,2022-04-23 07:34:37,37,T201R12,REALTIME
3272128,2039,Tetmajera,2022-04-23 07:35:16,16,T201R12,REALTIME
3269202,14536,Piekarnicza,2022-04-23 07:35:00,None,T201R12,SCHEDULED
3259734,2011,Traugutta,2022-04-23 07:36:00,None,T201R12,SCHEDULED
3272128,2041,Derdowskiego,2022-04-23 07:37:01,61,T201R12,REALTIME
3269202,2150,Siedlce,2022-04-23 07:38:05,5,T201R12,REALTIME
3259734,2015,Opera Bałtycka,2022-04-23 07:38:00,None,T201R12,SCHEDULED
3272128,2043,Obrońców Westerplatte,2022-04-23 07:37:55,55,T201R12,REALTIME
3259734,2017,Politechnika,2022-04-23 07:39:00,None,T201R12,SCHEDULED
3274634,14825,Lawendowe Wzgórze,2022-04-23 07:39:03,3,T201R12,REALTIME
3272128,202,Oliwa,2022-04-23 07:39:00,None,T201R12,SCHEDULED
3269202,2148,Skrajna,2022-04-23 07:39:31,31,T201R12,REALTIME
3269202,2146,Zakopiańska,2022-04-23 07:40:08,8,T201R12,REALTIME
3272158,202,Oliwa,2022-04-23 08:59:00,None,T201R12,SCHEDULED
3259734,2019,Miszewskiego,2022-04-23 07:41:00,None,T201R12,SCHEDULED
3274634,14827,Ujeścisko,2022-04-23 07:42:28,28,T201R12,REALTIME
3269202,2144,Ciasna,2022-04-23 07:42:04,64,T201R12,REALTIME
3269202,2142,Paska,2022-04-23 07:42:54,54,T201R12,REALTIME
3259734,2021,Jaśkowa Dolina,2022-04-23 07:43:00,None,T201R12,SCHEDULED
3259734,2023,Klonowa,2022-04-23 07:44:00,None,T201R12,SCHEDULED
3274634,14821,Zabornia,2022-04-23 07:44:01,1,T201R12,REALTIME
3274634,14819,Stolema,2022-04-23 07:44:36,-23,T201R12,REALTIME
3274634,14818,Łabędzia,2022-04-23 07:45:49,-10,T201R12,REALTIME
3269202,2140,Powstańców Warszawskich,2022-04-23 07:44:54,54,T201R12,REALTIME
3259734,2025,Galeria Bałtycka,2022-04-23 07:46:00,None,T201R12,SCHEDULED
3274634,14815,Królewskie Wzgórze,2022-04-23 07:47:00,None,T201R12,SCHEDULED
